sample	name	class
SRS1758260	chocolate_heaven_a	unknown
SRS1431909	chocolate_kush	sativa/indica
SRS4167525	chocolate_tonic	-
SRS1102339	chocolope	sativa
SRS1107939	chocolope_1	sativa
SRS1360609	chocolope_2	sativa
SRS1757995	chocolope_3	sativa
SRS1758290	chocolope_4	sativa
SRS1760279	chocolope_5	sativa
SRS4167869	chocolope_6	-
SRS4167565	chola	-
SRS1431856	chp_-_indica_hemp	hemp
SRS4169741	chubby_love	-
SRS1757936	chunky_skunk	unknown
SRS4168007	churban_pieson	-
SRS4167325	chuy_purps	-
SRS1758201	cindarella_99	unknown
SRS4169724	cinderella_99	-
SRS4169377	cinderellas_dream	-
P2_A01_M_0001	c._indica_afghanistan_	indica
P2_G12_M_0084	c._indica_afghanistan__1	indica
P2_H10_M_0094	c._indica_afghanistan__2	indica
P2_B04_M_0016	c._indica_pakistan_	indica
SRS1107938	cinex	sativa
SRS1758126	cinex_1	sativa
SRS1758521	cinex_2	sativa
SRS1759465	cinex_3	sativa
SRS1760345	cinex_4	sativa
SRS4167773	cinex_5	-
SRS1758526	cinex_x_501og	hybrid
SRS1758527	cinex_x_501og_1	hybrid
SRS1758551	cinex_x_501og_2	hybrid
SRS1758552	cinex_x_501og_3	hybrid
SRS1758553	cinex_x_501og_4	hybrid
SRS4167715	citron_13	-
SRS4167306	clone_62_cbd	-
SRS4167840	coastal_haze	-
SRS4167595	cognac	-
SRS1758503	colombia	unknown
SRS1759485	colombia_1	unknown
SRS4168019	colombia_81	-
SRS1758449	colombian_20s	unknown
SRS4169480	colombian_afghan	-
SRS4167860	colombian_red	-
SRS1758530	colombia_sabanira	unknown
SRS1758446	colombia_taganga	unknown
SRS4167593	columbian_cherry_cbd	-
SRS4169778	columbian_deelite	-
SRS1759471	columbian_gold	sativa
SRS4167672	columbian_gold_1	-
SRS4169759	columbian_gold_2	-
SRS1757934	columbian_x_super_skunk	unknown
SRS4167347	congo_jungle	-
SRS1758070	conspiracy_kush	indica
SRS4169457	conspiracy_kush_1	-
SRS4167479	cookie_monster	indica
SRS1758151	cookies	unknown
SRS1758233	cookies_1	unknown
SRS4167280	cookies___cream	-
SRS4169459	cookies_n_cream	-
SRS4167487	cookie_wreck	hybrid
SRS4169701	corazon	-
SRS1967048	corleone_kush	indica
SRS4169602	cosmic_fruit_eve	-
SRS4167554	cosmic_lotus_21	-
SRS1758295	cotton_candy	unknown
SRS1759434	cotton_candy_dl	unknown
SRS1758024	cotton_candy_kush	hybrid
SRS1758028	court_collars_cough	unknown
SRS4167953	cow_god_5	-
SRS4167406	coyote_blue	-
SRS4167911	cpk	-
SRS4167578	creme_brulee	-
SRS4167784	creme_brulee_1	-
SRS4169743	crescendo	-
SRS1760335	c-rex	unknown
SRS1431977	cripped_out_cookies	unknown
SRS1758237	crippled_rhino	unknown
SRS1431874	cript_out_cookies	unknown
SRS4167774	critical_cure	-
SRS4169622	critical_cure_1	-
SRS4167160	critical_jack	-
SRS1431820	critical_kush	indica
SRS1431922	critical_kush_1	indica
SRS1431823	critical_mass	indica
SRS1758064	critical_mass_1	indica
SRS1758155	critical_purple_kush	unknown
SRS4167679	crocketts_haze_05	-
SRS1758107	crunchberry	unknown
SRS1758091	crystal_goddess	unknown
SRS4169770	crystal_infinity	-
P2_H02_M_0086	c._sativa_guatemala_	sativa
P2_H03_M_0087	c._sativa_laos_	sativa
P2_B05_M_0017	c._sativa_south-africa_	sativa
P2_F04_M_0064	c._sativa_thailand-laos_	sativa
P2_G07_M_0079	cupid	hybrid
SRS1431834	curly	unknown
SRS1431958	curtis	unknown
SRS4167604	c_w	-
SRS1758458	dabney_blue	unknown
SRS4169603	dads_durban_massive_seeds_busta_rhymes	-
SRS1362455	dagestani_hemp	hemp
P2_D08_M_0044	damn_sour	hybrid
SRS4167185	dancehall	-
SRS4167186	dancehall_1	-
SRS1758020	dark_desire	unknown
SRS1758245	darkheart_1	unknown
SRS1758067	darkheart_2	unknown
SRS1758009	darkheart_3	unknown
SRS4167304	dark_matter	-
SRS4169594	dark_matter_1	-
SRS4167199	darkshine_11	-
SRS4169574	darkstar	-
SRS4167850	darth_vader_og_x_smores	-
SRS4167540	davy_jones	-
SRS4167973	day_wrecker	-
SRS1431946	dead_head_og	hybrid
SRS1758352	dead_head_og_1	hybrid
SRS1760358	dead_head_og_2	hybrid
SRS4169352	dead_head_og_3	-
SRS4167724	death_kush	-
SRS4167373	deathstar	-
SRS4167543	death_star	-
SRS1107950	deeppurplehaze	unknown
SRS4169536	deep_sleep	-
SRS4167842	deep_sour_kush	-
P2_E03_M_0051	delahaze	hybrid
P1_E01_H_0025_1	delores	hemp
SRS1759441	denmark	unknown
SRS4167527	devi	-
SRS1758147	diablo	indica
SRS4167557	diablo_1	-
SRS1760370	diablo_og	unknown
P2_F05_M_0065	diamond_girl_silver_pearl	hybrid
SRS4169369	diamond_og	-
SRS4167718	dieselmint	-
SRS4169662	dirty_bird	-
SRS1757976	dirty_girl	sativa
SRS1758131	dj_shorts_blueberry	indica
SRS1431849	dmn-1	unknown
SRS4167868	dna_genetics_proprietary_1	-
